label,expert_pos,pred_pos,acc,f1,prec,rec,n_ge_0.5,acc_ge_0.5,f1_ge_0.5
ACL,24,14,0.7586206896551724,0.631578947368421,0.8571428571428571,0.5,16,0.8125,0.8888888888888888
MCL,9,8,0.8793103448275862,0.5882352941176471,0.625,0.5555555555555556,8,0.625,0.7692307692307693
Medial Meniscus,26,14,0.6206896551724138,0.45,0.6428571428571429,0.34615384615384615,17,0.7058823529411765,0.782608695652174
Lateral Meniscus,23,10,0.7413793103448276,0.5454545454545454,0.9,0.391304347826087,15,0.8666666666666667,0.9
Medial OA,15,3,0.7586206896551724,0.2222222222222222,0.6666666666666666,0.13333333333333333,3,0.6666666666666666,0.8
Lateral OA,11,4,0.8448275862068966,0.4,0.75,0.2727272727272727,4,0.75,0.8571428571428571
PF OA,21,4,0.603448275862069,0.08,0.25,0.047619047619047616,4,0.25,0.4
Effusion,35,30,0.5689655172413793,0.6153846153846154,0.6666666666666666,0.5714285714285714,35,0.7142857142857143,0.7916666666666666
Synovitis,27,13,0.6206896551724138,0.45,0.6923076923076923,0.3333333333333333,13,0.6923076923076923,0.8181818181818182
Baker's,12,6,0.8275862068965517,0.4444444444444444,0.6666666666666666,0.3333333333333333,12,0.8333333333333334,0.8
Contusion,19,15,0.6896551724137931,0.47058823529411764,0.5333333333333333,0.42105263157894735,22,0.5909090909090909,0.64
Fracture,18,4,0.7586206896551724,0.36363636363636365,1.0,0.2222222222222222,14,0.7857142857142857,0.7272727272727273
